hour,Ws_26_5m,Ta_26_5m,P_mean_26_5m,Rh_26_5m,e_26_5m,Hs_26_5m,Le_26_5m,Ustar_26_5m,Fco2_26_5m,CO2_26_5m,DR_26_5m,UR_26_5m,DLR_26_5m,ULR_26_5m,Rn_26_5m,Rns_26_5m,Rnl_26_5m,Alb_26_5m,Wd_26_5m
0,2.151712509933775,25.579934640522875,100.11461009539474,71.99382352941177,2.388637254901961,11.440350190789474,15.142384856115108,0.3759685690789474,0.43143347260273973,755.0079195202703,-2.4234607843137255,1.2983986928104576,415.3235294117647,455.46437908496733,-43.86162418300653,-3.7218529411764703,-40.139718954248366,,134.53183447019867
1,2.114426493421053,25.22833333333333,100.08982286754967,73.3397385620915,2.389045751633987,9.885464708609272,14.896524389285716,0.3687069668874172,0.2798362746478873,758.7454562040816,-2.3143986928104576,1.2546797385620916,413.83627450980396,453.27843137254905,-43.01219934640523,-3.5690620915032683,-39.44272549019608,,135.4460382138158
2,2.006272066225166,24.914019607843137,100.06725392384106,74.61254901960784,2.388421568627451,9.39113719205298,12.950255846428572,0.35145166225165564,0.2613817797202797,757.1116318356643,-2.2616895424836603,1.2885980392156862,412.66633986928105,451.30392156862746,-42.191519607843134,-3.550375816993464,-38.641218954248366,0.04,138.86100176490066
3,1.929868715231788,24.643660130718953,100.05567781788079,75.85624183006536,2.39159477124183,8.346322353333333,12.124502339285714,0.33867625333333334,0.244820088028169,761.9394264405595,-2.202078431372549,1.3007124183006538,411.83431372549023,449.62745098039215,-41.293895424836606,-3.5027777777777773,-37.79149346405229,0.41,137.22083673178807
4,1.849329158783784,24.390849673202617,100.05565858724832,76.95153594771242,2.391957516339869,8.150391969798658,14.370351264492754,0.32521985234899325,0.2826444321428571,768.24622225,-2.191549019607843,1.327127450980392,411.54150326797384,448.068954248366,-40.04840522875817,-3.5187254901960783,-36.52914379084967,0.2125,130.75715535135134
5,1.8678056959459461,24.171633986928107,100.07208680666666,77.76366013071896,2.387957516339869,8.128404070469799,12.022316011029412,0.3151630167785235,0.2225403152173913,770.3909067978724,-0.2435718954248366,1.5769640522875816,411.27450980392155,446.75424836601314,-37.30083660130719,-1.8205620915032679,-35.48041176470588,0.4106875,124.92350002027028
6,1.93314524,24.10016339869281,100.10866812751678,78.11287581699347,2.3896307189542485,10.234846174496644,17.771607563432834,0.32796106375838924,0.31613,774.4069790296296,34.083212418300654,5.68617320261438,410.5869281045752,447.17189542483663,-8.189911764705881,28.39681045751634,-36.58726797385621,0.2061114864864865,130.09088588999998
7,2.071134693877551,24.358267973856208,100.15174451360544,77.12084967320261,2.392098039215686,25.18364357482993,31.48214728515625,0.36922724489795916,0.6018413863636364,777.4017941818182,126.64219607843138,15.941529411764707,412.3552287581699,452.2245098039216,70.82863071895426,110.69960784313726,-39.86971895424836,0.13531788079470197,135.28375534013605
8,2.3604938862068967,24.99143790849673,100.18109198958332,74.47486928104576,2.3907549019607846,53.76808585862069,53.11928938076923,0.4523891137931035,0.8072437786259542,773.1664338053436,246.43786928104575,29.20082026143791,417.90359477124184,461.2607843137255,173.8772320261438,217.23785620915032,-43.359578431372555,0.1217581699346405,139.2773809724138
9,2.684939762237762,25.746601307189543,100.19859486896551,70.97323529411766,2.372366013071895,84.02895478671329,69.26656729007634,0.49931934027777775,0.8506931136363636,763.3494237631578,369.1496732026144,42.22159477124183,422.9539215686275,471.66993464052285,278.2088137254902,326.9237450980392,-48.71626143790849,0.11609868421052631,142.08779354895105
10,2.8535008801369863,26.51143790849673,100.19196117586208,67.53950980392158,2.349434640522876,115.81858649652779,72.8995058091603,0.5457988819444445,0.8678640708955224,750.5337722388059,476.2513921568628,52.8870522875817,427.76535947712415,482.1702614379085,368.9659738562092,423.3686274509804,-54.401800653594776,0.11188888888888888,153.20332020547946
11,2.9618873664383565,27.21147058823529,100.16454462413793,64.55869281045752,2.3276797385620913,136.4801269862069,85.32171897307693,0.5634625413793103,0.8273905454545455,738.613400560606,539.857954248366,54.61136274509804,431.6908496732026,491.10196078431375,425.8418954248366,485.2538235294118,-59.409130718954245,0.1051470588235294,156.09798883561643
12,3.006104722972973,27.809901960784313,100.12913012162163,62.08117647058823,2.308794117647059,146.53003613175676,91.53677346946564,0.5787642972972973,0.7559517798507462,730.6326294222223,555.9205555555556,52.93488235294118,434.82026143790847,497.3277777777777,440.4833006535947,502.9857189542484,-62.50198366013072,0.099140522875817,156.07919509797296
13,2.9869003817567568,28.279640522875816,100.07524703767123,60.256568627450974,2.293607843137255,143.14466865306122,94.27702742481203,0.5777023027210885,0.5421726407407408,727.7716714890511,535.6583333333334,51.60006209150327,436.9852941176471,500.54673202614373,420.4930392156863,484.05937908496736,-63.564986928104574,0.09903267973856208,149.6884867837838
14,3.080855755033557,28.61934640522876,100.03595722297298,58.77039215686275,2.2767091503267975,136.22404567006802,87.14317887867647,0.5782016182432432,0.6070057158273382,722.825236275,481.4845424836601,46.767673202614375,437.85032679738566,501.12810457516343,371.4424738562091,434.72114379084974,-63.27976797385621,0.10062418300653594,149.75352831208053
15,3.03000791,28.732875816993463,100.0030346292517,58.57617647058824,2.281359477124183,116.95603834353743,80.89552633703703,0.5738882551020409,0.6808828138686132,721.044396905797,385.39088235294116,37.23951307189542,436.95392156862744,497.84771241830066,287.2601405228758,348.1502941176471,-60.89116339869281,0.10120915032679738,148.04849718666668
16,2.970797826666667,28.731470588235293,99.9736717852349,58.618562091503264,2.2821339869281045,87.97253609271523,74.20434596350366,0.5571377417218543,0.7480076642335767,721.2349077355072,263.8799934640523,26.53754575163399,436.0290849673202,492.3683006535948,181.00242156862745,237.34352941176468,-56.339330065359476,0.10755921052631578,140.86165790666666
17,2.7987793355263157,28.48264705882353,99.97072060855263,59.74153594771242,2.300983660130719,54.900769122516564,56.959347636690644,0.5328966655629139,0.8887329225352113,726.1633274930069,146.9002091503268,16.21344117647059,432.19607843137254,484.681045751634,78.19650326797385,130.6840163398693,-52.48751960784314,0.12126143790849671,145.47902817105262
18,2.598453003311258,28.130261437908498,99.9831210397351,61.4068954248366,2.3230457516339866,31.487977781456955,38.394603914893615,0.48447438079470195,0.9378343802816902,733.5459359825176,52.30572222222222,7.188281045751634,429.11372549019603,477.1928104575163,-2.9592320261437908,45.11690849673202,-48.07629738562091,0.1593951048951049,137.76664005629138
19,2.424002183333333,27.62359477124183,100.02800425838926,63.51290849673203,2.340294117647059,18.322614728187922,27.852964685714284,0.4450567684563758,0.8701021690140845,736.8457776328671,3.0389575163398694,1.8855882352941178,425.4062091503268,470.68071895424833,-44.164156862745095,1.116516339869281,-45.281019607843135,0.2552460317460318,128.75083990333331
20,2.30566062,27.149869281045753,100.07301473509933,65.50813725490197,2.353735294117647,15.505204243333335,21.83767697535211,0.40516865999999996,0.7216777793103448,741.3393384275862,-2.6017124183006537,1.352859477124183,422.24869281045756,466.4107843137255,-48.11819934640523,-3.954558823529412,-44.1626862745098,,123.83050809000001
21,2.309933373333333,26.753856209150328,100.12492051986756,67.15437908496733,2.3663235294117646,13.192562506666667,18.154025028169013,0.40011009,0.624869205479452,745.4648505884354,-2.415297385620915,1.3256666666666665,420.62679738562093,463.38137254901966,-46.498888888888885,-3.7409346405228763,-42.758529411764705,0.5075000000000001,127.27634014666667
22,2.2524495264900666,26.38235294117647,100.14361373355264,68.73846405228758,2.3775098039215687,13.234508779999999,17.152154841549297,0.39435462666666665,0.5946592852348993,747.4296158624161,-2.37502614379085,1.2617549019607843,418.762091503268,460.7179738562092,-45.591238562091505,-3.636751633986928,-41.954503267973855,0.29333333333333333,124.3003804370861
23,2.1709432417218544,25.964052287581698,100.1372323519737,70.57297385620915,2.3888823529411765,12.166112924342105,16.014507144366195,0.3793132532894737,0.4692776938775511,752.4738023175676,-2.3999575163398696,1.2224803921568628,416.7816993464052,457.97058823529414,-44.812601307189546,-3.6224346405228753,-41.191042483660134,0.007,129.89916582781458
