,Month,UHI_intensityMean T 2000,UHI_intensityMean T 2001,UHI_intensityMean T 2002,UHI_intensityMean T 2003,UHI_intensityMean T 2004,UHI_intensityMean T 2005,UHI_intensityMean T 2006,UHI_intensityMean T 2007,UHI_intensityMean T 2008,UHI_intensityMean T 2009,UHI_intensityMean T 2010,UHI_intensityMean T 2011,UHI_intensityMean T 2012,UHI_intensityMean T 2013,UHI_intensityMean T 2014,UHI_intensityMean T 2015,UHI_intensityMean T 2016,Mean
0,January,1.5370370370370365,1.4516129032258047,1.4336917562723999,1.1648745519713266,0.8064516129032264,0.788530465949822,0.967741935483871,2.858422939068098,1.6666666666666665,1.1738351254480288,1.541218637992831,1.5860215053763422,2.087813620071685,2.5627240143369154,1.137992831541218,1.066308243727598,1.3082437275985686,1.4787757396865553
1,February,1.685823754789272,0.9226190476190474,1.845238095238094,1.3492063492063502,1.5325670498084263,0.6944444444444446,1.25,2.1031746031746046,1.2452107279693512,1.13095238095238,1.9047619047619038,1.4484126984127004,2.3659003831417635,2.5992063492063506,1.3392857142857137,0.8630952380952372,0.9770114942528751,1.4857006020799126
2,March,1.7383512544802855,0.9498207885304666,1.039426523297494,1.0035842293906807,0.9318996415770622,1.0931899641577063,1.0304659498207913,1.8727598566308217,1.3172043010752663,1.146953405017923,1.693548387096774,1.53225806451613,1.9982078853046588,2.7150537634408582,1.397849462365591,1.8180363543266749,1.1200716845878134,1.4352165597421764
3,April,1.6296296296296315,0.5925925925925917,1.4074074074074066,1.0925925925925934,0.9999999999999982,1.2685185185185173,1.3981481481481506,3.4166666666666696,1.1296296296296333,1.3055555555555571,2.268518518518519,1.8611111111111107,2.3703703703703702,2.7407407407407387,1.3796296296296298,1.361111111111109,1.0000000000000018,1.601307189542484
4,May,2.2132616487455223,0.12544802867383353,1.7204301075268837,1.2007168458781408,0.9587813620071657,1.7204301075268766,1.675627240143374,3.3243727598566295,1.8279569892473102,1.5681003584229387,1.129032258064516,2.5358422939068177,2.311827956989248,2.894265232974913,1.164874551971323,1.4247311827956963,1.281362007168454,1.7104153489352731
5,June,1.9074074074074119,1.3148148148148167,1.4032921810699648,1.3703703703703702,2.2222222222222214,1.722222222222225,1.462962962962962,3.3796296296296298,1.759259259259263,1.8055555555555571,1.2314814814814845,2.800446998722858,2.944444444444443,2.7407407407407405,1.1018518518518512,1.4259259259259238,1.1851851851851798,1.869283132580406
6,July,1.953405017921149,2.1326164874551985,1.6308243727598573,1.6666666666666643,2.0071684587813614,1.8817204301075314,1.594982078853043,3.181003584229387,1.711469534050181,1.8369175627240146,1.3351254480286734,3.046594982078851,2.670250896057347,2.7329749103942618,1.5949820788530467,1.4695340501792096,1.9175627240143385,2.021399957832595
7,August,1.5053763440860308,1.7921146953404943,1.2903225806451601,1.6666666666666679,1.6218637992831582,1.7383512544802855,2.1326164874551985,2.6881720430107556,1.8369175627240182,1.9175627240143385,1.7921146953404943,2.571684587813621,2.768817204301076,2.8136200716845856,1.4874551971326113,1.9086021505376358,1.6308243727598573,1.9507695551338817
8,September,1.6574074074074048,2.3333333333333357,2.0740740740740726,1.6666666666666679,2.351851851851851,2.3055555555555536,1.9166666666666714,3.2500000000000036,1.6203703703703631,1.9537037037037024,2.0185185185185155,2.5462962962962976,2.648148148148149,2.9444444444444464,1.749999999999993,1.462962962962962,1.2777777777777786,2.104575163398692
9,October,2.078853046594981,2.526881720430108,1.3261648745519672,1.5412186379928325,2.0788530465949844,1.397849462365592,2.670250896057347,2.5358422939068106,1.7293906810035864,1.8817204301075279,1.9802867383512552,2.401433691756269,2.4014336917562726,2.9749103942652333,1.129032258064516,1.8100358422939067,1.5860215053763422,2.002951718321737
10,November,2.0,2.370370370370374,1.4907407407407414,1.0648148148148184,1.7222222222222232,1.7222222222222179,3.203703703703704,1.4814814814814827,1.1944444444444429,2.0740740740740726,1.90740740740741,2.351851851851851,3.314814814814815,2.351851851851852,0.935185185185186,1.5277777777777768,1.7905491698595135,1.911971301930734
11,December,1.2365591397849467,1.827956989247312,1.5053763440860224,1.3082437275985686,1.5949820788530449,1.5232974910394266,3.225806451612904,1.5949820788530489,0.9587813620071688,2.1146953405017954,1.173835125448027,2.688172043010752,2.697132616487454,2.074206823310764,0.6541218637992845,1.3799283154121849,1.6935483870967776,1.7206838928323223
