,Month,UHI_intensityMinimum T 2000,UHI_intensityMinimum T 2001,UHI_intensityMinimum T 2002,UHI_intensityMinimum T 2003,UHI_intensityMinimum T 2004,UHI_intensityMinimum T 2005,UHI_intensityMinimum T 2006,UHI_intensityMinimum T 2007,UHI_intensityMinimum T 2008,UHI_intensityMinimum T 2009,UHI_intensityMinimum T 2010,UHI_intensityMinimum T 2011,UHI_intensityMinimum T 2012,UHI_intensityMinimum T 2013,UHI_intensityMinimum T 2014,UHI_intensityMinimum T 2015,UHI_intensityMinimum T 2016,Mean
0,January,2.7407407407407396,3.1541218637992845,2.831541218637993,2.025089605734767,1.3440860215053778,1.4516129032258065,2.329749103942651,3.9068100358422937,3.136200716845878,2.2222222222222223,2.580645161290324,2.8494623655913975,3.06451612903226,3.566308243727598,2.6702508960573477,2.0609318996415773,2.903225806451611,2.6375008784875957
1,February,3.4099616858237565,1.9642857142857137,3.670634920634921,2.4404761904761902,3.1034482758620703,2.817460317460318,2.638888888888889,2.8174603174603163,2.5478927203065127,2.638888888888889,2.6785714285714297,2.7182539682539684,3.6973180076628354,3.4126984126984126,2.4603174603174596,1.984126984126985,2.2030651340996164,2.776691136224605
2,March,3.315412186379925,2.491039426523298,2.078853046594982,2.258064516129031,2.2401433691756267,2.2401433691756267,2.6164874551971335,3.1720430107526885,2.4731182795698894,2.275985663082436,2.9928315412186404,2.4731182795698934,2.9390681003584227,3.566308243727596,2.401433691756273,2.519841269841271,2.5985663082437287,2.626615162193909
3,April,2.7037037037037033,2.2592592592592595,2.555555555555557,2.333333333333335,1.9444444444444446,2.4259259259259256,2.740740740740743,3.0555555555555545,2.296296296296296,2.5185185185185173,3.5185185185185164,2.59259259259259,3.9259259259259283,3.6481481481481453,2.8148148148148175,3.0925925925925926,2.703703703703704,2.7723311546840956
4,May,3.7813620071684557,2.132616487455195,3.028673835125444,1.8637992831541208,1.4336917562724025,3.1003584229390686,3.2795698924731145,5.179211469534051,3.2437275985663074,2.473118279569894,1.9534050179211473,3.6021505376344116,3.243727598566304,3.5125448028673816,2.3655913978494603,2.6702508960573432,2.1505376344086056,2.8831962892683944
5,June,2.6111111111111107,2.7222222222222214,2.81893004115226,1.962962962962962,2.94444444444445,2.6111111111111143,2.462962962962962,4.57407407407408,2.8888888888888893,2.6111111111111107,2.3148148148148096,4.233716475095786,4.185185185185187,3.462962962962962,2.6111111111111107,1.8703703703703667,2.94444444444445,2.931201429060343
6,July,2.9211469534050174,3.4408602150537675,2.670250896057347,2.2043010752688232,2.688172043010752,2.3655913978494567,2.6702508960573503,4.336917562724011,2.6881720430107556,3.0107526881720403,2.5089605734767026,4.229390681003586,3.36917562724015,2.921146953405014,2.6702508960573503,2.867383512544805,2.921146953405014,2.9696394686907026
7,August,2.526881720430108,3.1182795698924757,2.3655913978494603,2.1863799283154144,2.1684587813619984,2.4551971326164903,3.2258064516129075,3.6738351254480293,3.136200716845881,2.903225806451612,2.9928315412186386,3.9426523297491016,3.79928315412187,3.745519713261647,3.333333333333332,3.602150537634408,2.849462365591407,3.060299388572634
8,September,3.0740740740740744,4.055555555555557,3.537037037037031,2.4444444444444464,3.4259259259259256,3.574074074074076,2.9629629629629655,5.074074074074071,2.9814814814814827,3.0370370370370363,3.481481481481474,3.666666666666668,3.703703703703704,4.518518518518519,3.259259259259265,2.8888888888888857,3.074074074074076,3.4564270152505445
9,October,4.301075268817203,4.623655913978493,2.2222222222222214,2.813620071684592,3.405017921146955,2.3476702508960567,3.6738351254480257,4.336917562724018,3.172043010752687,2.9390681003584227,3.602150537634408,3.6379928315412187,3.27956989247312,4.354838709677418,2.956989247311826,3.9605734767025105,3.2437275985663074,3.4629981024667935
10,November,4.351851851851853,4.814814814814813,2.925925925925929,2.333333333333335,3.0740740740740726,3.148148148148147,4.6296296296296315,2.962962962962964,2.2777777777777746,3.38888888888889,3.870370370370371,4.074074074074073,5.055555555555556,3.703703703703703,2.5,3.3888888888888893,4.329501915708813,3.578205995041695
11,December,2.6164874551971327,3.4946236559139776,2.831541218637993,2.903225806451615,2.867383512544802,2.885304659498207,4.713261648745521,2.7240143369175622,1.8279569892473113,3.1541218637992823,2.3835125448028682,4.498207885304662,3.7813620071684584,2.3662551440329223,1.9713261648745515,2.7598566308243733,2.867383512544804,2.979166178618003
