,UHI Heat Wave
0,0.904139433551201
1,0.9869281045751706
2,0.9934640522875711
3,1.2156862745098067
4,0.8758169934640563
5,0.9027777777777786
6,0.9354575163398735
7,1.0326797385620807
8,1.2236746550471977
9,0.6463326071169249
10,-0.4030501089324616
11,0.6495098039215677
12,0.7777777777777786
13,0.7142857142857153
14,0.7142857142857082
15,0.9952465834818867
16,0.6611362493715447
17,0.8333333333333286
18,0.9523809523809561
19,0.7407407407407405
20,0.9027777777777715
21,0.952380952380949
22,0.27777777777777857
23,0.6349206349206398
24,0.55555555555555
25,1.1111111111111072
26,1.1904761904761862
27,0.8888888888888893
28,0.7777777777777786
29,1.2037037037037024
30,0.7142857142857153
31,0.8537581699346433
32,0.5555555555555571
33,1.5972222222222214
34,1.2309368191721077
35,1.187363834422662
36,1.2549019607843093
37,1.5413943355119812
38,0.9558823529411811
39,1.0219845513963222
40,1.5457516339869315
41,1.3333333333333215
42,1.1830065359477047
43,1.1805555555555607
44,0.4761904761904745
45,0.7843137254902004
46,1.050779286073407
47,1.1990950226244266
48,1.1412770236299679
49,1.2690631808278852
50,0.44117647058823906
51,0.7189542483660105
52,0.7088989441930593
53,1.2156862745098138
54,0.846042120551914
55,0.8224400871459636
56,0.8496732026143832
57,1.0566448801742965
58,0.8288770053475929
59,0.4166666666666714
60,0.7549019607843093
61,0.7581699346405273
62,0.6944444444444429
63,0.7407407407407369
64,0.27777777777777857
65,0.55555555555555
66,-0.37037037037037024
67,0.55555555555555
68,1.249999999999993
69,1.0
70,1.746031746031747
71,1.2698412698412724
72,1.5079365079365132
73,0.6222147950089152
74,0.3333333333333357
75,0.3703703703703667
76,1.1111111111111107
77,-0.18518518518518334
78,1.172839506172842
79,0.4761904761904745
80,0.8333333333333357
81,0.09259259259259522
82,0.5555555555555642
83,0.9943977591036486
84,1.25
85,0.989106753812635
86,1.0049019607843093
87,0.6699346405228752
88,0.580973129992735
89,0.7338086749851485
90,1.3117283950617278
91,1.0031512605041968
